,Takin,Wild Yak,Water Buffalo
kinase,1309,2207,3308
GPCR,0,0,0
G protein-coupled,32,98,152
7TM,0,0,0
seven transmembrane,0,0,0
zinc,992,1994,2844
transport,552,882,1357
receptor,2532,3466,4906
cytochrome,151,203,259
ATPase,158,283,408
ubiquitin,728,1143,1452
oxidase,128,208,280
synthetase,30,44,46
transcription,733,1246,1554
homeobox,213,311,406
helix-loop-helix,16,25,22
forkhead,58,87,134
nuclear receptor,93,141,208
TF,72,145,146
coactivator,47,88,129
corepressor,44,83,111
phosphatase,486,898,1272
second messenger,0,0,0
MAPK,17,32,38
cAMP,70,79,155
PKA,5,10,13
calmodulin,70,106,154
reductase,194,271,342
peroxidase,11,13,16
heat shock,82,73,70
HSP,9,9,12
proteasome,60,71,93
stress,12,12,15
dehydrogenase,298,375,482
glycolysis,0,0,0
mitochondrial,913,1135,1601
HIF,1,1,2
hypoxia,9,13,16
VEGF,0,0,0
carbonic anhydrase,24,25,41
oxygen,115,170,214
myoglobin,1,1,1
hemoglobin,18,12,21
interleukin,124,207,288
toll-like,10,26,43
TLR,3,4,4
major histocompatibility,2,1,4
MHC,3,10,17
defensin,3,17,27
immunoglobulin,105,158,287
cytokine,56,106,142
growth factor,180,323,415
morphogen,16,51,59
developmental,12,23,19
Wnt,24,34,36
BMP,7,11,15
Notch,23,18,30
