InterPro_Desc,Water Buffalo,Wild Yak,Takin
-,675502,4585,260820
Zinc finger C2H2-type,80685,1450,27286
Fibronectin type III,38254,737,6745
Immunoglobulin-like fold,25812,976,8632
Nebulin repeat,15733,0,10074
Ankyrin repeat,14733,239,4661
Immunoglobulin-like domain superfamily,14483,475,6185
Immunoglobulin domain subtype,13901,431,5927
WD40 repeat,12802,540,5599
Zinc finger C2H2 superfamily,12334,404,4165
Immunoglobulin-like domain,12281,0,5278
EGF-like domain,12188,0,5111
Immunoglobulin subtype 2,11546,366,4895
"G protein-coupled receptor, rhodopsin-like",11373,0,7974
Immunoglobulin I-set,10503,260,4604
P-loop containing nucleoside triphosphate hydrolase,7335,247,3128
Olfactory receptor,7198,0,6100
Fibronectin type III superfamily,6135,314,0
Cadherin-like,6009,0,3002
SH3 domain,5958,220,0
"Fibronectin, type I",0,276,0
Pumilio RNA-binding repeat,0,240,0
Pleckstrin homology domain,0,178,0
Protein kinase domain,0,172,2486
"Zinc finger, CCCH-type",0,169,0
Collagen triple helix repeat,0,155,0
RNA recognition motif domain,0,0,2314
